Marque,BonusMalus,Rejets CO2 g/km,Cout enerie
AUDI,8000.72,26.10,191.60
BENTLEY,8024.47,84.00,102.00
BMW,8012.53,39.26,80.53
CITROEN,6000.00,0.00,347.00
DS,6000.00,16.50,159.00
HYUNDAI,6000.00,8.67,151.00
JAGUAR,6000.00,0.00,271.00
KIA,8000.72,10.33,157.67
LAND,8024.47,69.00,78.00
MERCEDES,8366.39,187.63,749.98
MINI,8018.48,21.50,126.00
MITSUBISHI,8024.47,40.00,98.00
NISSAN,8202.40,160.00,681.20
PEUGEOT,6000.00,15.83,144.17
PORSCHE,8024.47,69.86,89.71
RENAULT,6000.00,0.00,206.00
SKODA,8018.48,27.56,98.89
SMART,6000.00,0.00,191.36
TESLA,6000.00,0.00,245.89
TOYOTA,8024.47,32.00,43.00
VOLKSWAGEN,8000.72,23.43,96.00
VOLVO,8024.47,42.45,72.73
forAll,8024.47,139.27,561.46
