marque,nom,puissance,longueur,nbPlaces,nbPortes,couleur,occasion,prix,BonusMalus,Rejets CO2 g/km,Cout enerie
AUDI,A2 1.4,75,courte,5,5,blanc,true,12817,8000.72,26.10,191.60
AUDI,A2 1.4,75,courte,5,5,blanc,false,18310,8000.72,26.10,191.60
AUDI,A2 1.4,75,courte,5,5,rouge,false,18310,8000.72,26.10,191.60
AUDI,A2 1.4,75,courte,5,5,noir,false,18310,8000.72,26.10,191.60
AUDI,A2 1.4,75,courte,5,5,gris,true,12817,8000.72,26.10,191.60
AUDI,A2 1.4,75,courte,5,5,rouge,true,12817,8000.72,26.10,191.60
AUDI,A2 1.4,75,courte,5,5,bleu,true,12817,8000.72,26.10,191.60
AUDI,A2 1.4,75,courte,5,5,gris,false,18310,8000.72,26.10,191.60
AUDI,A2 1.4,75,courte,5,5,bleu,false,18310,8000.72,26.10,191.60
AUDI,A2 1.4,75,courte,5,5,noir,true,12817,8000.72,26.10,191.60
AUDI,A3 2.0 FSI,150,moyenne,5,5,rouge,true,19950,8000.72,26.10,191.60
AUDI,A3 2.0 FSI,150,moyenne,5,5,gris,false,28500,8000.72,26.10,191.60
AUDI,A3 2.0 FSI,150,moyenne,5,5,bleu,false,28500,8000.72,26.10,191.60
AUDI,A3 2.0 FSI,150,moyenne,5,5,bleu,true,19950,8000.72,26.10,191.60
AUDI,A3 2.0 FSI,150,moyenne,5,5,blanc,true,19950,8000.72,26.10,191.60
AUDI,A3 2.0 FSI,150,moyenne,5,5,blanc,false,28500,8000.72,26.10,191.60
AUDI,A3 2.0 FSI,150,moyenne,5,5,gris,true,19950,8000.72,26.10,191.60
AUDI,A3 2.0 FSI,150,moyenne,5,5,rouge,false,28500,8000.72,26.10,191.60
AUDI,A3 2.0 FSI,150,moyenne,5,5,noir,false,28500,8000.72,26.10,191.60
AUDI,A3 2.0 FSI,150,moyenne,5,5,noir,true,19950,8000.72,26.10,191.60
BMW,120i,150,moyenne,5,5,rouge,false,35800,8012.53,39.26,80.53
BMW,120i,150,moyenne,5,5,noir,false,35800,8012.53,39.26,80.53
BMW,120i,150,moyenne,5,5,blanc,true,25060,8012.53,39.26,80.53
BMW,120i,150,moyenne,5,5,noir,true,25060,8012.53,39.26,80.53
BMW,120i,150,moyenne,5,5,gris,true,25060,8012.53,39.26,80.53
BMW,120i,150,moyenne,5,5,bleu,true,25060,8012.53,39.26,80.53
BMW,120i,150,moyenne,5,5,gris,false,35800,8012.53,39.26,80.53
BMW,120i,150,moyenne,5,5,blanc,false,35800,8012.53,39.26,80.53
BMW,120i,150,moyenne,5,5,bleu,false,35800,8012.53,39.26,80.53
BMW,120i,150,moyenne,5,5,rouge,true,25060,8012.53,39.26,80.53
BMW,M5,507,tr�s longue,5,5,noir,true,66360,8012.53,39.26,80.53
BMW,M5,507,tr�s longue,5,5,rouge,false,94800,8012.53,39.26,80.53
BMW,M5,507,tr�s longue,5,5,gris,true,66360,8012.53,39.26,80.53
BMW,M5,507,tr�s longue,5,5,bleu,false,94800,8012.53,39.26,80.53
BMW,M5,507,tr�s longue,5,5,blanc,true,66360,8012.53,39.26,80.53
BMW,M5,507,tr�s longue,5,5,rouge,true,66360,8012.53,39.26,80.53
BMW,M5,507,tr�s longue,5,5,noir,false,94800,8012.53,39.26,80.53
